,age,sex_female,sex_male,sibsp,parch,fare
0,47.375967117879554,1.0,0.0,0.0,0.0,7.8792
1,50.0,1.0,0.0,0.0,0.0,10.5
2,6.0,0.0,1.0,0.0,1.0,12.475
3,16.6484546002084,0.0,1.0,0.0,0.0,7.8958
4,2.0,1.0,0.0,4.0,2.0,31.275
5,28.0,0.0,1.0,0.0,0.0,7.8958
6,10.305022080877396,1.0,0.0,0.0,0.0,7.75
7,20.0,0.0,1.0,0.0,0.0,9.225
8,43.14540398621856,0.0,1.0,0.0,0.0,15.1
9,24.0,0.0,1.0,0.0,0.0,10.5
10,48.974605423977174,0.0,1.0,0.0,0.0,14.4583
11,24.0,0.0,1.0,0.0,0.0,7.25
12,3.0,1.0,0.0,3.0,1.0,21.075
13,24.0,1.0,0.0,0.0,3.0,19.2583
14,28.59382370186443,1.0,0.0,0.0,0.0,7.8792
15,21.0,0.0,1.0,0.0,0.0,8.05
16,27.0,1.0,0.0,0.0,2.0,11.1333
17,33.0,0.0,1.0,0.0,0.0,8.6625
18,35.0,0.0,1.0,0.0,0.0,7.125
19,26.0,0.0,1.0,0.0,0.0,7.8875
20,43.0,0.0,1.0,1.0,1.0,26.25
21,47.0,0.0,1.0,0.0,0.0,38.5
22,9.0,1.0,0.0,1.0,1.0,15.2458
23,36.90344844717102,1.0,0.0,0.0,1.0,55.0
24,40.0,0.0,1.0,1.0,5.0,31.3875
25,45.0,1.0,0.0,1.0,0.0,52.5542
26,18.0,1.0,0.0,0.0,1.0,23.0
27,9.0,1.0,0.0,1.0,1.0,15.2458
28,10.750600086644859,0.0,1.0,0.0,0.0,7.2292
29,40.0,0.0,1.0,0.0,0.0,27.7208
30,27.0,1.0,0.0,1.0,0.0,7.925
31,21.0,1.0,0.0,2.0,2.0,262.375
32,0.75,1.0,0.0,2.0,1.0,19.2583
33,20.387821684844624,0.0,1.0,0.0,0.0,8.7125
34,19.649096730177646,0.0,1.0,0.0,0.0,52.0
35,33.0,0.0,1.0,0.0,0.0,7.8958
36,2.0,0.0,1.0,1.0,1.0,23.0
37,34.25890902042328,0.0,1.0,0.0,0.0,7.75
38,16.0,1.0,0.0,0.0,0.0,7.75
39,17.0,0.0,1.0,1.0,1.0,7.2292
40,17.0,0.0,1.0,0.0,0.0,8.6625
41,22.0,0.0,1.0,0.0,0.0,8.05
42,19.238887434250902,0.0,1.0,0.0,0.0,7.2292
43,9.739529711895415,0.0,1.0,0.0,0.0,8.05
44,25.0,0.0,1.0,0.0,0.0,7.05
45,36.0,1.0,0.0,1.0,2.0,120.0
46,25.0,0.0,1.0,0.0,0.0,7.7958
47,60.0,1.0,0.0,0.0,0.0,76.2917
48,32.0,0.0,1.0,0.0,0.0,7.775
49,14.0,0.0,1.0,0.0,0.0,65.0
50,16.0,1.0,0.0,0.0,0.0,7.65
51,18.85100803279521,1.0,0.0,1.0,0.0,15.5
52,36.98019581274165,0.0,1.0,0.0,0.0,7.225
53,35.25868324655434,0.0,1.0,0.0,0.0,35.0
54,26.0,0.0,1.0,0.0,0.0,30.0
55,24.0,1.0,0.0,1.0,0.0,15.85
56,18.0,0.0,1.0,0.0,0.0,10.5
57,34.0,0.0,1.0,1.0,0.0,26.0
58,27.0,0.0,1.0,0.0,0.0,13.0
59,26.0,1.0,0.0,1.0,1.0,26.0
60,0.9167,0.0,1.0,1.0,2.0,151.55
61,39.0,0.0,1.0,0.0,0.0,13.0
62,21.0,1.0,0.0,0.0,1.0,21.0
63,22.350608128342643,1.0,0.0,1.0,0.0,51.8625
64,24.0,0.0,1.0,0.0,0.0,13.0
65,14.5,1.0,0.0,1.0,0.0,14.4542
66,29.0,1.0,0.0,0.0,0.0,221.7792
67,17.0,0.0,1.0,0.0,0.0,8.6625
68,17.0,0.0,1.0,0.0,0.0,8.6625
69,29.0,0.0,1.0,0.0,0.0,9.4833
70,38.0,0.0,1.0,0.0,0.0,7.8958
71,46.202114362542744,0.0,1.0,0.0,0.0,42.4
