,pclass,age,sibsp,parch,fare,sex_female,sex_male
0,1.0,29.0,0.0,0.0,211.3375,1,0
1,1.0,0.9167,1.0,2.0,151.55,0,1
2,1.0,2.0,1.0,2.0,151.55,1,0
3,1.0,30.0,1.0,2.0,151.55,0,1
4,1.0,25.0,1.0,2.0,151.55,1,0
5,1.0,48.0,0.0,0.0,26.55,0,1
6,1.0,63.0,1.0,0.0,77.9583,1,0
7,1.0,39.0,0.0,0.0,0.0,0,1
8,1.0,53.0,2.0,0.0,51.4792,1,0
9,1.0,71.0,0.0,0.0,49.5042,0,1
10,1.0,47.0,1.0,0.0,227.525,0,1
11,1.0,18.0,1.0,0.0,227.525,1,0
12,1.0,24.0,0.0,0.0,69.3,1,0
13,1.0,26.0,0.0,0.0,78.85,1,0
14,1.0,80.0,0.0,0.0,30.0,0,1
15,1.0,,0.0,0.0,25.925,0,1
16,1.0,24.0,0.0,1.0,247.5208,0,1
17,1.0,50.0,0.0,1.0,247.5208,1,0
18,1.0,32.0,0.0,0.0,76.2917,1,0
19,1.0,36.0,0.0,0.0,75.2417,0,1
20,1.0,37.0,1.0,1.0,52.5542,0,1
21,1.0,47.0,1.0,1.0,52.5542,1,0
22,1.0,26.0,0.0,0.0,30.0,0,1
23,1.0,42.0,0.0,0.0,227.525,1,0
24,1.0,29.0,0.0,0.0,221.7792,1,0
25,1.0,25.0,0.0,0.0,26.0,0,1
26,1.0,25.0,1.0,0.0,91.0792,0,1
27,1.0,19.0,1.0,0.0,91.0792,1,0
28,1.0,35.0,0.0,0.0,135.6333,1,0
29,1.0,28.0,0.0,0.0,26.55,0,1
30,1.0,45.0,0.0,0.0,35.5,0,1
31,1.0,40.0,0.0,0.0,31.0,0,1
32,1.0,30.0,0.0,0.0,164.8667,1,0
33,1.0,58.0,0.0,0.0,26.55,1,0
34,1.0,42.0,0.0,0.0,26.55,0,1
35,1.0,45.0,0.0,0.0,262.375,1,0
36,1.0,22.0,0.0,1.0,55.0,1,0
37,1.0,,0.0,0.0,26.55,0,1
38,1.0,41.0,0.0,0.0,30.5,0,1
39,1.0,48.0,0.0,0.0,50.4958,0,1
40,1.0,,0.0,0.0,39.6,0,1
41,1.0,44.0,0.0,0.0,27.7208,1,0
42,1.0,59.0,2.0,0.0,51.4792,1,0
43,1.0,60.0,0.0,0.0,76.2917,1,0
44,1.0,41.0,0.0,0.0,134.5,1,0
45,1.0,45.0,0.0,0.0,26.55,0,1
46,1.0,,0.0,0.0,31.0,0,1
47,1.0,42.0,0.0,0.0,26.2875,0,1
48,1.0,53.0,0.0,0.0,27.4458,1,0
49,1.0,36.0,0.0,1.0,512.3292,0,1
50,1.0,58.0,0.0,1.0,512.3292,1,0
51,1.0,33.0,0.0,0.0,5.0,0,1
52,1.0,28.0,0.0,0.0,47.1,0,1
53,1.0,17.0,0.0,0.0,47.1,0,1
54,1.0,11.0,1.0,2.0,120.0,0,1
55,1.0,14.0,1.0,2.0,120.0,1,0
56,1.0,36.0,1.0,2.0,120.0,0,1
57,1.0,36.0,1.0,2.0,120.0,1,0
58,1.0,49.0,0.0,0.0,26.0,0,1
59,1.0,,0.0,0.0,27.7208,1,0
60,1.0,36.0,1.0,0.0,78.85,0,1
61,1.0,76.0,1.0,0.0,78.85,1,0
62,1.0,46.0,1.0,0.0,61.175,0,1
63,1.0,47.0,1.0,0.0,61.175,1,0
64,1.0,27.0,1.0,0.0,53.1,0,1
65,1.0,33.0,1.0,0.0,53.1,1,0
66,1.0,36.0,0.0,0.0,262.375,1,0
67,1.0,30.0,0.0,0.0,86.5,1,0
68,1.0,45.0,0.0,0.0,29.7,0,1
69,1.0,,0.0,1.0,55.0,1,0
70,1.0,,0.0,0.0,0.0,0,1
71,1.0,27.0,1.0,0.0,136.7792,0,1
72,1.0,26.0,1.0,0.0,136.7792,1,0
73,1.0,22.0,0.0,0.0,151.55,1,0
74,1.0,,0.0,0.0,52.0,0,1
75,1.0,47.0,0.0,0.0,25.5875,0,1
76,1.0,39.0,1.0,1.0,83.1583,1,0
77,1.0,37.0,1.0,1.0,83.1583,0,1
78,1.0,64.0,0.0,2.0,83.1583,1,0
79,1.0,55.0,2.0,0.0,25.7,1,0
80,1.0,,0.0,0.0,26.55,0,1
81,1.0,70.0,1.0,1.0,71.0,0,1
82,1.0,36.0,0.0,2.0,71.0,1,0
83,1.0,64.0,1.0,1.0,26.55,1,0
84,1.0,39.0,1.0,0.0,71.2833,0,1
85,1.0,38.0,1.0,0.0,71.2833,1,0
86,1.0,51.0,0.0,0.0,26.55,0,1
87,1.0,27.0,0.0,0.0,30.5,0,1
88,1.0,33.0,0.0,0.0,151.55,1,0
89,1.0,31.0,1.0,0.0,52.0,0,1
90,1.0,27.0,1.0,2.0,52.0,1,0
91,1.0,31.0,1.0,0.0,57.0,0,1
92,1.0,17.0,1.0,0.0,57.0,1,0
93,1.0,53.0,1.0,1.0,81.8583,0,1
94,1.0,4.0,0.0,2.0,81.8583,0,1
95,1.0,54.0,1.0,1.0,81.8583,1,0
96,1.0,50.0,1.0,0.0,106.425,0,1
97,1.0,27.0,1.0,1.0,247.5208,1,0
98,1.0,48.0,1.0,0.0,106.425,1,0
99,1.0,48.0,1.0,0.0,39.6,1,0
100,1.0,49.0,1.0,0.0,56.9292,0,1
101,1.0,39.0,0.0,0.0,29.7,0,1
