,age,sex_female,sex_male,sibsp,parch,fare
0,29.0,1.0,0.0,0.0,0.0,211.3375
1,0.9167,0.0,1.0,1.0,2.0,151.55
2,2.0,1.0,0.0,1.0,2.0,151.55
3,30.0,0.0,1.0,1.0,2.0,151.55
4,25.0,1.0,0.0,1.0,2.0,151.55
5,48.0,0.0,1.0,0.0,0.0,26.55
6,63.0,1.0,0.0,1.0,0.0,77.9583
7,39.0,0.0,1.0,0.0,0.0,0.0
8,53.0,1.0,0.0,2.0,0.0,51.4792
9,71.0,0.0,1.0,0.0,0.0,49.5042
10,47.0,0.0,1.0,1.0,0.0,227.525
11,18.0,1.0,0.0,1.0,0.0,227.525
12,24.0,1.0,0.0,0.0,0.0,69.3
13,26.0,1.0,0.0,0.0,0.0,78.85
14,80.0,0.0,1.0,0.0,0.0,30.0
15,,0.0,1.0,0.0,0.0,25.925
16,24.0,0.0,1.0,0.0,1.0,247.5208
17,50.0,1.0,0.0,0.0,1.0,247.5208
18,32.0,1.0,0.0,0.0,0.0,76.2917
19,36.0,0.0,1.0,0.0,0.0,75.2417
20,37.0,0.0,1.0,1.0,1.0,52.5542
21,47.0,1.0,0.0,1.0,1.0,52.5542
22,26.0,0.0,1.0,0.0,0.0,30.0
23,42.0,1.0,0.0,0.0,0.0,227.525
24,29.0,1.0,0.0,0.0,0.0,221.7792
25,25.0,0.0,1.0,0.0,0.0,26.0
26,25.0,0.0,1.0,1.0,0.0,91.0792
27,19.0,1.0,0.0,1.0,0.0,91.0792
28,35.0,1.0,0.0,0.0,0.0,135.6333
29,28.0,0.0,1.0,0.0,0.0,26.55
30,45.0,0.0,1.0,0.0,0.0,35.5
31,40.0,0.0,1.0,0.0,0.0,31.0
32,30.0,1.0,0.0,0.0,0.0,164.8667
33,58.0,1.0,0.0,0.0,0.0,26.55
34,42.0,0.0,1.0,0.0,0.0,26.55
35,45.0,1.0,0.0,0.0,0.0,262.375
36,22.0,1.0,0.0,0.0,1.0,55.0
37,,0.0,1.0,0.0,0.0,26.55
38,41.0,0.0,1.0,0.0,0.0,30.5
39,48.0,0.0,1.0,0.0,0.0,50.4958
40,,0.0,1.0,0.0,0.0,39.6
41,44.0,1.0,0.0,0.0,0.0,27.7208
42,59.0,1.0,0.0,2.0,0.0,51.4792
43,60.0,1.0,0.0,0.0,0.0,76.2917
44,41.0,1.0,0.0,0.0,0.0,134.5
45,45.0,0.0,1.0,0.0,0.0,26.55
46,,0.0,1.0,0.0,0.0,31.0
47,42.0,0.0,1.0,0.0,0.0,26.2875
48,53.0,1.0,0.0,0.0,0.0,27.4458
49,36.0,0.0,1.0,0.0,1.0,512.3292
50,58.0,1.0,0.0,0.0,1.0,512.3292
51,33.0,0.0,1.0,0.0,0.0,5.0
